GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rc-watchdog/rc-common,org.rcdukes.error,ErrorHandler,78,0,4,0,16,0,7,0,5,0
rc-watchdog/rc-common,org.rcdukes.common,ClusterStarter,219,0,18,0,62,0,24,0,15,0
rc-watchdog/rc-common,org.rcdukes.common,ServoPosition,115,0,0,0,32,0,10,0,10,0
rc-watchdog/rc-common,org.rcdukes.common,ServoCalibration,44,0,0,0,17,0,11,0,11,0
rc-watchdog/rc-common,org.rcdukes.common,Configuration,278,0,16,0,70,0,25,0,17,0
rc-watchdog/rc-common,org.rcdukes.common,DukesVerticle,355,0,18,0,93,0,33,0,24,0
rc-watchdog/rc-common,org.rcdukes.common,Events,214,0,0,0,13,0,1,0,1,0
rc-watchdog/rc-common,org.rcdukes.common,DukesVerticle.Status,34,0,0,0,2,0,1,0,1,0
rc-watchdog/rc-common,org.rcdukes.common,Characters,256,0,0,0,28,0,8,0,8,0
rc-watchdog/rc-common,org.rcdukes.common,Environment,311,0,24,0,83,0,31,0,19,0
rc-watchdog/rc-common,org.rcdukes.common,ErrorHandler,20,0,0,0,6,0,2,0,2,0
rc-watchdog/rc-common,org.rcdukes.common,Config,88,0,0,0,24,0,7,0,7,0
rc-watchdog/rc-common,org.rcdukes.common,WebStarter,94,0,0,0,24,0,6,0,6,0
rc-watchdog/rc-common,org.rcdukes.common,POJO,7,0,0,0,2,0,2,0,2,0
rc-watchdog/rc-common,org.rcdukes.common,TinkerPopDatabase,157,0,10,0,34,0,13,0,8,0
rc-watchdog/rc-camera-matrix,org.rcdukes.camera,ImagePolygon,273,0,0,0,20,0,3,0,3,0
rc-watchdog/rc-camera-matrix,org.rcdukes.camera,PerspectiveShift,84,0,0,0,16,0,5,0,5,0
rc-watchdog/rc-camera-matrix,org.rcdukes.camera,CameraMatrix,544,0,20,0,109,0,27,0,17,0
rc-watchdog/rc-drivecontrol,org.rcdukes.drivecontrol,ServoMap,53,0,0,0,18,0,9,0,9,0
rc-watchdog/rc-drivecontrol,org.rcdukes.drivecontrol,Car,175,0,10,0,57,0,19,0,14,0
rc-watchdog/rc-drivecontrol,org.rcdukes.drivecontrol,EngineMap,91,0,0,0,21,0,1,0,1,0
rc-watchdog/rc-drivecontrol,org.rcdukes.drivecontrol,SteeringMap,91,0,0,0,21,0,1,0,1,0
rc-watchdog/rc-drivecontrol,org.rcdukes.drivecontrol,ServoRangeMap,390,0,28,0,82,0,32,0,18,0
rc-watchdog/rc-drivecontrol,org.rcdukes.drivecontrol,LedMap,61,0,0,0,18,0,5,0,5,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,ServoRange,122,0,4,0,32,0,16,0,14,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,ServoBlaster,123,0,4,0,24,0,5,0,3,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,Steering,74,0,4,0,22,0,9,0,7,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,Servo,25,0,0,0,8,0,4,0,4,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,Led,25,0,0,0,9,0,3,0,3,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,ServoSide,267,0,20,0,62,0,29,0,19,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,Engine,79,0,4,0,24,0,9,0,7,0
rc-watchdog/rc-drivecontrol,org.rcdukes.car,AdaFruit,292,0,6,0,56,0,11,0,8,0
